counterparty,geography,evidence,limits,nextAsk
123NET / Michigan endpoints,"DET-IX meet-me room, 100 Renaissance Center, Detroit, MI",The exchange has a named downtown Detroit endpoint. [MI04],"The public source does not identify a GPC port, a 123NET-owned entrance, any enterprise customer, or a complete path from 100 Renaissance Center to a Rightfiber POP. No acquisition or asset-transfer case exists on public evidence. Use the meet-me room as a demand-led enterprise handoff.","Request the DET-IX node's carrier list, MMR operator, LOA/CFA process, port inventory and 123NET transport quote back to DC1. Test one named enterprise requirement before any broader downtown build. Stop if: No Rightfiber customer demand, no GPC-reachable carrier at the MMR, or landlord and riser costs make the endpoint inferior to DC1."
123NET / Michigan endpoints,"123NET DC4, 400 76th Street SW, Suite 12, Byron Center, MI 49315; Grand Rapids Internet Exchange access at DC4",DC4 is an operating 123NET data center with multiple named on-site carriers. [MI11] [MI12] [MI14],"The reviewed sources do not establish that GPC reaches DC4, that GRR-IX has a GPC/Rightfiber port, or that DC4 is physically diverse from a Southfield service path. Keep ownership as a later portfolio question. First prove that DC4 produces incremental enterprise or carrier revenue rather than duplicating third-party access.","Obtain a 10G and 100G protected transport quote from GPC's Chicago or Indianapolis carrier POP to DC4 through two separately identified carriers. Require the current GRR-IX roster and route-level shared-risk analysis. Stop if: No qualified enterprise demand, no second physical path, or transport cost exceeds a direct third-party carrier solution."
123NET / PFN,Southfield; Beverly Hills; Birmingham; Bloomfield; Pontiac; Waterford; Clarkston; Davisburg; Holly; Fenton; Grand Blanc; Flint; Clio; Birch Run; Bridgeport; Saginaw; Bay City,The 123NET/PFN corridor is described as completed and connected into the partners' networks and DET-IX. [MI13] [MI15],"The joint announcement does not establish which party owns each span, whether Rightfiber can use it, or whether any named GPC facility has a physical connection to the route. Any ownership discussion must wait for a joint-asset schedule and PFN consent analysis. The public record supports partnership before control.","Select one A/Z requirement between DC1 and a named Flint, Saginaw or Bay City customer location. Request priced lit wavelength, Ethernet and dark-fiber/IRU alternatives with full route, pair, restoration and assignment schedules. Stop if: No continuous assignable right across both partners, no customer-backed lateral, insufficient capacity, or shared restoration and route risks erase diversity."
123NET / Michigan endpoints,"123NET DC1/DC2/DC3/DC4 peering reference to Equinix Chicago; GPC 350 Cermak Rd data-center endpoint, Chicago; GPC 1623 Farnam endpoint, Omaha",Each network separately markets Chicago access. [MI04] [MI05] [MI07] [MI08] [MI11] [MI16] [MI17] [MI18],"No reviewed source establishes that 123NET and GPC occupy the same Chicago facility or meet-me room, have a cross-connect, exchange traffic, or offer an end-to-end Michigan-to-GPC path. Equinix Chicago must not be assumed to mean 350 Cermak without an LOA/CFA or facility schedule. A working NNI can capture most near-term value. Ownership should be considered only if traffic volume, gross margin and route control justify the added minority, fund, creditor and regulatory complexity.","First confirm 123NET's exact Equinix Chicago address and MMR. If it is 350 Cermak, price a cross-connect and 10G/100G NNI. If it is another Chicago building, price a protected metro wavelength between the two MMRs. Benchmark against GPC managed Ethernet, which currently markets up to 100 Gbps and access to more than 29 Midwest data centers and carrier hotels. Stop if: No common building, uneconomic metro extension, unavailable capacity, or a Michigan-to-Chicago route that shares the same carrier and physical risk as the intended backup path."
Legacy Ritter / Texarkana,"Texarkana, Arkansas and Texas; I-30 transport corridor","Ritter announced a $16 million investment in June 2020, including $12 million for the I-30 transport route and $4 million for the local business market. That release said business-zone availability would begin in July. The current service page markets Texarkana. [RF03] [RF01]","No exact A/Z route, Jonesboro connection, specific serviceable building, fiber title or diverse path is established here.","Obtain a named enterprise order, current building serviceability, accepted route and demarcation, latency, protection and service quote before assigning incremental revenue."
Gigabit Fiber / Dallas-area endpoints,"Texarkana-to-Dallas wholesale extension test; 1950 North Stemmons Freeway, Dallas, TX 75207","Texarkana is currently marketed as a legacy Ritter business-fiber market. [RF01] The reviewed sources do not establish a Rightfiber POP at 1950 North Stemmons. Partner POP evidence; the connecting route is hypothetical. Gigabit Fiber lists a GIGAPOP at 1950 Stemmons and names Equinix DA1, DA3 and DA6. Equinix confirms DA1, DA3 and DA6 at the address. No Rightfiber/GPC NNI is evidenced. [RF03] [GF01] [GF02] [DC01]","The missing leg from Texarkana to the facility, meet-me-room location, cross-connect availability, route mileage, diversity, optical budget, price and term require diligence.","Request a priced 100G wavelength or Ethernet handoff from Gigabit at 1950 North Stemmons to extend Rightfiber's Texarkana enterprise reach into a Dallas carrier hotel. Require accepted A/Z demarcations, current capacity, binding terms and a shared-risk path drawing."
Gigabit Fiber / Dallas-area endpoints,"Seagoville and the southeast Dallas build cluster; 400 South Akard Street, Dallas, TX 75202","RightFiber said construction was underway with Seagoville first in February 2026, and its current service-area page lists Seagoville outside the Coming Soon section. It offers up to 100 Gbps to businesses at the market level. Seagoville is a marketed buyer service area and DFW1 is a partner POP; the connection between them is hypothetical. Gigabit lists a GIGAPOP at 400 South Akard. DataBank calls DFW1 a carrier hotel with 46 onsite carriers. The reviewed sources do not establish Rightfiber presence at this facility. [RF01] [RF02] [GF01] [GF03] [DC02]","A city service-page listing is not a specific enterprise lateral. Building serviceability, route completion, customer-ready date, path diversity, NNI and margin split are unknown.","Bundle a Seagoville business Ethernet access circuit with a Gigabit wholesale handoff at DFW1 for Dallas carrier, cloud and colocation access. Require accepted A/Z demarcations, current capacity, binding terms and a shared-risk path drawing."
Gigabit Fiber / Dallas-area endpoints,"Forney and Terrell, advertised future North Texas markets; 2323 Bryan Street, Dallas, TX 75201","Rightfiber's current service-area page places Forney and Terrell in Coming Soon. The reviewed sources establish no completed business network, route or enterprise address for either city. The buyer market is planned and a partner POP is named; their connection is hypothetical. Gigabit lists a GIGAPOP at 2323 Bryan. Digital Realty identifies DFW10 at the address, while Equinix identifies DA4 there. Co-location of operators does not establish cross-connect or NNI status. [RF01] [GF01] [GF03] [DC03] [DC04]","Coming Soon is not construction completion. The route, delivery milestone, entrance facility, cross-connect, capacity and economics are unknown.","Pre-negotiate a conditional managed Ethernet handoff at 2323 Bryan for Forney/Terrell enterprise customers, effective only after customer-ready build milestones. Require accepted A/Z demarcations, current capacity, binding terms and a shared-risk path drawing."
Gigabit Fiber / Dallas-area endpoints,"Mabank, advertised future North Texas market; 1210 Integrity Drive, Richardson, TX 75081",Rightfiber labels Mabank Coming Soon. The reviewed sources do not establish a completed route or customer-ready premise. The buyer market is planned and a partner POP is named; their connection is hypothetical. Gigabit lists a GIGAPOP at 1210 Integrity Way; Digital Realty's current DFW18 page uses 1210 Integrity Drive. The street-suffix difference should be reconciled before contracting. [RF01] [GF01] [DC05],"No buyer route, on-net building, cross-connect, latency, diverse entrance or service date is established. Do not use the facility's power and space scale as evidence of network demand.","Test a customer-backed managed Ethernet circuit from Mabank to DFW18 for private-cloud or disaster-recovery access. Require accepted A/Z demarcations, current capacity, binding terms and a shared-risk path drawing."
Gigabit Fiber / Dallas-area endpoints,"Ennis, advertised future North Texas market, and a north-DFW carrier campus test; 8375 Dominion Parkway, Plano, TX 75024","Rightfiber labels Ennis Coming Soon. The reviewed sources do not establish a completed Ennis-to-Dallas or Ennis-to-Plano path. The buyer market is planned and a partner POP is named; their connection is hypothetical. Gigabit lists a GIGAPOP at 8375 Dominion Parkway. DataBank identifies DFW3 and DFW8 at the address, with 47 onsite carriers on its current campus page. No Rightfiber/GPC presence is evidenced. [RF01] [GF01] [GF02] [GF03] [DC06]","This is the longest and weakest geographic hypothesis in the screen. The reviewed sources do not establish the proposed route, and Gigabit's general underground-backbone or diversity marketing cannot substitute for a path diagram.","Seek a demand-triggered dark-fiber IRU or managed wavelength to the Plano campus for an Ennis enterprise anchor, subject to a route survey and two-entry-path proof. Require accepted A/Z demarcations, current capacity, binding terms and a shared-risk path drawing."
